"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Testing RESTAssured","0","Comments Endpoint","6","0","Update Comment","0"
"0","API Testing RESTAssured","0","Posts Endpoint","6","0","Get Single Post","0"
"0","API Testing RESTAssured","0","Comments Endpoint","2","0","Get Comments","0"
"0","API Testing RESTAssured","0","Comments Endpoint","6","0","Get Comments By Post ID","0"
"0","API Testing RESTAssured","0","Comments Endpoint","6","0","Get Single Comment","0"
"0","API Testing RESTAssured","0","Photos Endpoint","6","0","Get Photos By Album ID","0"
"0","API Testing RESTAssured","2","Albums Endpoint","2","0","Create Album","0"
"0","API Testing RESTAssured","0","Photos Endpoint","6","0","Update Photo","0"
"0","API Testing RESTAssured","0","Posts Endpoint","6","0","Get Post Comments by QueryParam","0"
"0","API Testing RESTAssured","0","Albums Endpoint","6","0","Update Album","0"
"0","API Testing RESTAssured","0","Albums Endpoint","6","0","Get Album Photos","0"
"0","API Testing RESTAssured","0","Todos Endpoint","2","0","Create Todo","0"
"0","API Testing RESTAssured","0","Posts Endpoint","6","0","Delete Post","0"
"0","API Testing RESTAssured","0","Albums Endpoint","12","0","Get Single Album","0"
"0","API Testing RESTAssured","0","Posts Endpoint","2","0","Get Posts","0"
"0","API Testing RESTAssured","0","Posts Endpoint","6","0","Update Post","0"
"0","API Testing RESTAssured","0","Users Endpoint","6","0","Delete User","0"
"0","API Testing RESTAssured","0","Albums Endpoint","6","0","Delete Album","0"
"0","API Testing RESTAssured","0","Todos Endpoint","6","0","Get Single Todo","0"
"0","API Testing RESTAssured","0","Photos Endpoint","2","0","Get Photos","0"
"0","API Testing RESTAssured","0","Todos Endpoint","6","0","Update Todo","0"
"0","API Testing RESTAssured","0","Posts Endpoint","6","0","Get Post Comments Nested","0"
"0","API Testing RESTAssured","0","Comments Endpoint","2","0","Create Comment","0"
"0","API Testing RESTAssured","0","Photos Endpoint","6","0","Get Single Photo","0"
"0","API Testing RESTAssured","0","Users Endpoint","6","0","Get Single User","0"
"0","API Testing RESTAssured","0","Comments Endpoint","6","0","Delete Comment","0"
"0","API Testing RESTAssured","0","Photos Endpoint","2","0","Create Photo","0"
"0","API Testing RESTAssured","0","Posts Endpoint","2","0","Create Post","0"
"0","API Testing RESTAssured","0","Users Endpoint","2","0","Get Users","0"
"0","API Testing RESTAssured","0","Users Endpoint","6","0","Update User","0"
"0","API Testing RESTAssured","0","Albums Endpoint","2","0","Get Albums","0"
"0","API Testing RESTAssured","0","Todos Endpoint","2","0","Get Todos","0"
"0","API Testing RESTAssured","0","Photos Endpoint","6","0","Delete Photo","0"
"0","API Testing RESTAssured","0","Todos Endpoint","6","0","Delete Todo","0"
"0","API Testing RESTAssured","0","Posts Endpoint","6","0","Patch Post","0"
"0","API Testing RESTAssured","0","Users Endpoint","2","0","Create User","0"
